日期,累计净值(元),累计净值(元),净值增长率
2020/2/27,1.477,1.477,-2.893%
2020/2/26,1.521,1.521,0.066%
2020/2/25,1.52,1.52,-1.299%
2020/2/24,1.54,1.54,-2.962%
2020/2/21,1.587,1.587,-2.037%
2020/2/20,1.62,1.62,-0.735%
2020/2/19,1.632,1.632,0.99%
2020/2/18,1.616,1.616,0.248%
2020/2/17,1.612,1.612,0.311%
2020/2/14,1.607,1.607,0.689%
2020/2/13,1.596,1.596,-0.188%
2020/2/12,1.599,1.599,1.267%
2020/2/11,1.579,1.579,0.19%
2020/2/10,1.576,1.576,1.026%
2020/2/7,1.56,1.56,-0.064%
2020/2/6,1.561,1.561,0.905%
2020/2/5,1.547,1.547,-0.642%
2020/2/4,1.557,1.557,2.165%
2020/2/3,1.524,1.524,-0.327%
2020/1/23,1.529,1.529,-0.65%
2020/1/22,1.539,1.539,0.000%
2020/1/21,1.539,1.539,-0.259%
2020/1/20,1.543,1.543,0.000%
2020/1/17,1.543,1.543,0.260%
2020/1/16,1.539,1.539,0.457%
2020/1/15,1.532,1.532,0.131%
2020/1/14,1.53,1.53,-0.907%
2020/1/13,1.544,1.544,1.713%
2020/1/10,1.518,1.518,0.397%
2020/1/09,1.512,1.512,1.340%
2020/1/08,1.492,1.492,0.336%
2020/1/07,1.487,1.487,0.473%
2020/1/06,1.48,1.48,1.231%
2020/1/03,1.462,1.462,-0.612%
2020/1/02,1.471,1.471,2.224%
2019/12/31,1.439,1.439,-0.208%
2019/12/30,1.442,1.442,-0.962%
2019/12/27,1.456,1.456,-0.069%
2019/12/26,1.457,1.457,1.110%
2019/12/25,1.441,1.441,0.139%
2019/12/24,1.439,1.439,-0.139%
2019/12/23,1.441,1.441,0.069%
2019/12/20,1.44,1.44,0.139%
2019/12/19,1.438,1.438,0.419%
2019/12/18,1.432,1.432,0.562%
2019/12/17,1.424,1.424,0.636%
2019/12/16,1.415,1.415,1.288%
2019/12/13,1.397,1.397,1.012%
2019/12/12,1.383,1.383,0.509%
2019/12/11,1.376,1.376,0.585%
2019/12/10,1.368,1.368,-0.146%
2019/12/09,1.37,1.37,-0.218%
2019/12/06,1.373,1.373,0.882%
2019/12/05,1.361,1.361,0.591%
2019/12/04,1.353,1.353,-0.515%
2019/12/03,1.36,1.36,-0.073%
2019/12/02,1.361,1.361,-1.090%
2019/11/29,1.376,1.376,-0.362%
2019/11/28,1.381,1.381,0.145%
2019/11/27,1.379,1.379,0.657%
2019/11/26,1.37,1.37,0.366%
2019/11/25,1.365,1.365,0.887%
2019/11/22,1.353,1.353,0.222%
2019/11/21,1.35,1.35,-0.369%
2019/11/20,1.355,1.355,-0.368%
2019/11/19,1.36,1.36,0.741%
2019/11/18,1.35,1.35,0.521%
2019/11/15,1.343,1.343,0.449%
2019/11/14,1.337,1.337,-0.075%
2019/11/13,1.338,1.338,-0.520%
2019/11/12,1.345,1.345,0.598%
